	metric	Year	Dataset	Condition	TotalArea	RelativeArea
0	rRAI	2005	CHIRPS	0	296084.27543679345	0.04984583761562179
0	rRAI	2005	CRU NCEP	0	238088.38643371017	0.040082219938335044
0	rRAI	2005	ERA 5	0	201459.40390544708	0.03391572456320658
0	rRAI	2005	GLDAS	0	305241.5210688592	0.051387461459403906
0	rRAI	2005	TRMM 7	0	335765.6731757451	0.0565262076053443
0	rRAI	2005	GPCC	0	384604.31654676265	0.06474820143884892
0	rRAI	2010	CHIRPS	1	51891.058581706064	0.008735868448098663
0	rRAI	2010	CRU NCEP	1	201459.40390544708	0.03391572456320658
0	rRAI	2010	ERA 5	1	421233.2990750257	0.07091469681397738
0	rRAI	2010	GLDAS	1	265560.12332990754	0.044707091469681395
0	rRAI	2010	TRMM 7	1	326608.42754367937	0.05498458376156218
0	rRAI	2010	GPCC	1	244193.21685508738	0.041109969167523124
0	rRAI	2016	CHIRPS	2	0.0	0.0
0	rRAI	2016	CRU NCEP	2	0.0	0.0
0	rRAI	2016	ERA 5	2	0.0	0.0
0	rRAI	2016	GLDAS	2	793627.954779034	0.13360739979445016
0	rRAI	2016	TRMM 7	2	3052.415210688592	0.0005138746145940391
0	rRAI	2016	GPCC	2	3052.415210688592	0.0005138746145940391
0	rMCWD	2005	CHIRPS	0	491438.8489208633	0.08273381294964029
0	rMCWD	2005	CRU NCEP	0	714265.1593011306	0.12024665981500514
0	rMCWD	2005	ERA 5	0	207564.23432682425	0.03494347379239465
0	rMCWD	2005	GLDAS	0	540277.4922918808	0.09095580678314491
0	rMCWD	2005	TRMM 7	0	528067.8314491264	0.08890030832476875
0	rMCWD	2005	GPCC	0	628797.53340185	0.10585817060637205
0	rMCWD	2010	CHIRPS	1	702055.4984583763	0.11819116135662898
0	rMCWD	2010	CRU NCEP	1	384604.31654676265	0.06474820143884892
0	rMCWD	2010	ERA 5	1	1089712.2302158272	0.18345323741007194
0	rMCWD	2010	GLDAS	1	668478.9311408018	0.11253854059609456
0	rMCWD	2010	TRMM 7	1	692898.2528263103	0.11664953751284686
0	rMCWD	2010	GPCC	1	634902.3638232272	0.10688591983556012
0	rMCWD	2016	CHIRPS	2	821099.6916752313	0.13823227132579652
0	rMCWD	2016	CRU NCEP	2	616587.8725590956	0.10380267214799589
0	rMCWD	2016	ERA 5	2	1043926.0020554985	0.17574511819116137
0	rMCWD	2016	GLDAS	2	1260647.4820143888	0.21223021582733814
0	rMCWD	2016	TRMM 7	2	818047.2764645428	0.13771839671120248
0	rMCWD	2016	GPCC	2	741736.896197328	0.1248715313463515
0	rscPDSI	2005	CHIRPS	0	79362.7954779034	0.013360739979445015
0	rscPDSI	2005	CRU NCEP	0	51891.058581706064	0.008735868448098663
0	rscPDSI	2005	ERA 5	0	42733.81294964029	0.007194244604316547
0	rscPDSI	2005	GLDAS	0	42733.81294964029	0.007194244604316547
0	rscPDSI	2005	TRMM 7	0	183144.91264131555	0.030832476875642344
0	rscPDSI	2005	GPCC	0	326608.42754367937	0.05498458376156218
0	rscPDSI	2010	CHIRPS	1	131253.85405960947	0.022096608427543678
0	rscPDSI	2010	CRU NCEP	1	54943.47379239466	0.009249743062692703
0	rscPDSI	2010	ERA 5	1	70205.54984583762	0.011819116135662899
0	rscPDSI	2010	GLDAS	1	94624.87153134636	0.01593011305241521
0	rscPDSI	2010	TRMM 7	1	134306.26927029804	0.022610483042137718
0	rscPDSI	2010	GPCC	1	79362.7954779034	0.013360739979445015
0	rscPDSI	2016	CHIRPS	2	671531.3463514902	0.1130524152106886
0	rscPDSI	2016	CRU NCEP	2	836361.7677286742	0.1408016443987667
0	rscPDSI	2016	ERA 5	2	662374.1007194244	0.11151079136690648
0	rscPDSI	2016	GLDAS	2	2332045.2209660844	0.3926002055498458
0	rscPDSI	2016	TRMM 7	2	940143.8848920864	0.15827338129496402
0	rscPDSI	2016	GPCC	2	866885.9198355601	0.1459403905447071
